quarter,start,end,points,pos,kickoff,punt,fumble,int,downs
3,28,37,,,,1,,,
3,28,35,3,1,1,,,,
3,25,13,,,,1,,,
,,,,,,,,,
1,21,48,,,,1,,,
1,19,35,7,1,1,,,,
1,29,28,,,,1,,,
1,36,73,,1,,,,,1
1,27,35,3,,1,,,,
3,41,60,,1,,1,,,
3,4,6,,,,1,,,
3,59,35,7,1,1,,,,
3,22,35,7,,1,,,,
3,25,35,7,1,1,,,,
3,8,35,7,,1,,,,
,,,,,,,,,
1,25,27,,,,,1,,
1,26,35,3,1,1,,,,
1,25,59,,,,1,,,
1,17,19,,1,,1,,,
1,39,60,,,,1,,,
1,17,35,7,1,1,,,,
1,25,23,,,,1,,,
1,41,35,3,1,1,,,,
1,25,23,,,,1,,,
3,25,35,7,1,1,,,,
3,25,35,7,,1,,,,
3,25,85,,1,,,,,1
3,15,17,,,,1,,,
3,41,35,7,1,1,,,,
3,25,35,7,,1,,,,
3,27,62,,1,,1,,,
3,10,81,,,,,1,,
3,30,35,3,1,1,,,,
,,,,,,,,,
1,25,39,,1,,1,,,
1,25,40,,,,1,,,
1,2,35,7,1,1,,,,
1,23,35,7,,1,,,,
1,20,59,,1,,,,,1
3,16,35,7,,1,,,,
3,25,29,,1,,1,,,
3,17,35,7,,1,,,,
3,28,56,,1,,1,,,
3,16,35,,,,,,1,
,,,,,,,,,
quarter,start,end,points,pos,kickoff,punt,fumble,int,downs
1,35,35,7,1,1,,,,
1,25,72,,,,,,,
1,28,35,7,1,1,,,,
1,21,35,3,,1,,,,
1,13,49,,1,,,,,1
1,51,35,7,,1,,,,
3,25,35,7,,1,,,,
3,25,35,3,1,1,,,,
3,25,40,,,,1,,,
3,21,35,7,1,1,,,,
,,,,,,,,,
1,20,24,,1,,1,,,
1,38,35,7,,1,,,,
1,22,35,6,1,1,,,,
1,25,57,,,,,1,,
1,24,37,,1,,1,,,
1,13,28,,,,1,,,
3,25,38,,,,1,,,
3,40,35,7,1,1,,,,
3,83,35,7,,1,,,,
3,25,47,,1,,1,,,
3,7,35,7,,1,,,,
3,25,33,,1,,1,,,
3,25,34,,,,1,,,
,,,,,,,,,
1,25,40,,,,1,,,
1,19,27,,1,,1,,,
1,29,48,,,,1,,,
1,80,35,7,1,1,,,,
1,25,64,,,,1,,,
1,5,16,,1,,1,,,
1,24,35,7,,1,,,,
3,38,35,3,1,1,,,,
3,25,35,7,,1,,,,
3,24,16,,1,,1,,,
3,22,43,,,,1,,,
3,25,50,,1,,1,,,
3,9,30,,,,1,,,
,,,,,,,,,
1,25,77,,,,,,,
1,23,59,,1,,1,,,
1,20,35,7,,1,,,,
1,25,43,,1,,1,,,
1,20,35,7,,1,,,,
3,20,35,3,1,1,,,,
3,25,35,7,,1,,,,
3,19,16,,1,,1,,,
3,38,41,,,,1,,,
3,18,35,7,1,1,,,,
,,,,,,,,,
1,25,53,,,,1,,,
1,7,29,,1,,1,,,
1,22,23,,,,1,,,
1,34,35,7,1,1,,,,
1,25,25,,,,1,,,
1,26,35,7,1,1,,,,
1,25,35,7,,1,,,,
3,25,35,7,1,1,,,,
3,25,26,,,,1,,,
3,45,35,7,1,1,,,,
3,2,9,,,,1,,,
3,28,33,,,,1,,,
3,39,35,3,1,1,,,,
